	Data	Graph	full	multi	paired1	paired2	Number of maximum recursion depth	Number of maximum Transcripts/Gene	opt	Norm	Sparsity Constraint	Lambda	Mu	flowOptimization	CostFunctionIndex	maxAdditionalEdgeCount	Mode of Backtrack	Name of gtfFile	Name of csv-Resultfile	Name of jsonFile	Time	Number of Transcripts without Optimization	Number of Transcripts with Optimization	Number of genes with 0 Transcripts with Optimization	Average number of transcripts/gene without Optimization	Standard deviation of transcripts/gene without Optimization	Average number of transcripts/gene with Optimization	Standard deviation of transcripts/gene with Optimization	Average transcript size without Optimization	Standard deviation of transcriptSize without Optimization	Average transcript size with Optimization	Standard deviation of transcriptSize with Optimization	Average number of exons/Gene	Standard deviation of exons/Gene	Number of single Exon transcripts without Optimization	Number of single Exon transcripts with Optimization	Number of total Genes	Number of Genes exceeding maxTranscripts	Number of Genes exceeding maxRecursion	Number of Genes exceeding maxPairedBins	True positives	False positives	Total positives	False negatives	Total Transcripts of ReferenceGTF	Sensitivity on IntronChainLevel	Precision on IntronChainLevel	Fuzzy Sensitivity on IntronChainLevel	Fuzzy Precision on IntronChainLevel
23	SRR315334.graph	cleaned	0	0	0	1	401	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR315334paired2.json	40.838s	82016	0	0	3.340637855891817	55.113876646508594	0	0.0	17.96506779165041	15.259968321310009	None	None	12.779397987862	16.510744782072912	93	0	24551	0	0	0	12180	64995	77175	214631	226811	6.2	15.8	100.0	100.0
24	SRR387661.graph	cleaned	1	0	0	0	571	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR387661full.json	103.085s	757289	0	0	27.666557065614494	251.21071254785895	0	0.0	31.806595632578844	21.005829595695054	None	None	14.90349180866202	21.88424608721047	163	0	27407	35	0	0	14835	691354	706189	211976	226811	7.5	2.1	100.0	100.0
25	SRR387661.graph	cleaned	0	1	0	0	571	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR387661multi.json	129.865s	626230	0	0	22.866793252026586	202.89800465846585	0	0.0	31.961166025262283	22.43382068256997	None	None	14.90349180866202	21.88424608721047	163	0	27407	21	0	0	14361	571107	585468	212450	226811	7.3	2.5	100.0	100.0
27	SRR387661.graph	cleaned	0	0	0	1	571	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR387661paired2.json	270.241s	626230	0	0	22.866793252026586	202.89800465846585	0	0.0	31.961166025262283	22.43382068256997	None	None	14.90349180866202	21.88424608721047	163	0	27407	21	0	0	14361	571107	585468	212450	226811	7.3	2.5	100.0	100.0
28	SRR534291.graph	cleaned	1	0	0	0	1123	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR534291full.json	44.276s	286785	0	0	10.408107715758147	105.02405664635994	0	0.0	29.46131422494203	40.70512226917096	None	None	10.78896386591206	16.868530056682257	332	0	27564	10	0	0	13218	245573	258791	213593	226811	6.7	5.1	100.0	100.0
29	SRR534291.graph	cleaned	0	1	0	0	1123	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR534291multi.json	54.602s	227873	0	0	8.267651113852406	103.9141172958022	0	0.0	31.72108147959609	39.089080501326194	None	None	10.78896386591206	16.868530056682257	333	0	27564	2	0	0	12598	187652	200250	214213	226811	6.4	6.3	100.0	100.0
31	SRR534291.graph	cleaned	0	0	0	1	1123	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR534291paired2.json	94.880s	227873	0	0	8.267651113852406	103.9141172958022	0	0.0	31.72108147959609	39.089080501326194	None	None	10.78896386591206	16.868530056682257	333	0	27564	2	0	0	12598	187652	200250	214213	226811	6.4	6.3	100.0	100.0
32	SRR534307.graph	cleaned	1	0	0	0	1668	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR534307full.json	275.019s	1264586	0	0	36.64192165044042	308.18392448474884	0	0.0	54.45847257521434	35.69706173598525	None	None	19.649010258633144	38.39623122323033	71	0	34605	93	0	0	16842	1176217	1193059	209969	226811	8.5	1.4	100.0	100.0
33	SRR534307.graph	cleaned	0	1	0	0	1668	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR534307multi.json	576.117s	1038055	0	0	30.03979048500984	274.4804537649339	0	0.0	57.93935774116015	39.15159319035812	None	None	19.649010258633144	38.39623122323033	71	0	34605	49	0	0	16241	967037	983278	210570	226811	8.2	1.7	100.0	100.0
35	SRR534307.graph	cleaned	0	0	0	1	1668	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR534307paired2.json	1623.315s	1038055	0	0	30.03979048500984	274.4804537649339	0	0.0	57.93935774116015	39.15159319035812	None	None	19.649010258633144	38.39623122323033	71	0	34605	49	0	0	16241	967037	983278	210570	226811	8.2	1.7	100.0	100.0
36	SRR534319.graph	cleaned	1	0	0	0	1091	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR534319full.json	92.147s	836520	0	0	31.34794828555368	324.5610270843682	0	0.0	29.29805503753646	14.020010231409133	None	None	12.397877191015436	17.62029771574774	103	0	26757	72	0	0	10837	778410	789247	215974	226811	5.5	1.4	100.0	100.0
37	SRR534319.graph	cleaned	0	1	0	0	1091	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR534319multi.json	119.335s	748129	0	0	28.01771402891169	290.79567845875334	0	0.0	29.957667728426514	15.014941307853704	None	None	12.397877191015436	17.62029771574774	103	0	26757	55	0	0	10567	696245	706812	216244	226811	5.4	1.5	100.0	100.0
39	SRR534319.graph	cleaned	0	0	0	1	1091	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR534319paired2.json	351.589s	748129	0	0	28.01771402891169	290.79567845875334	0	0.0	29.957667728426514	15.014941307853704	None	None	12.397877191015436	17.62029771574774	103	0	26757	55	0	0	10567	696245	706812	216244	226811	5.4	1.5	100.0	100.0
40	SRR545695.graph	cleaned	1	0	0	0	606	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR545695full.json	116.687s	926879	0	0	36.93922365694245	353.93498435500226	0	0.0	31.02269659793781	16.351144421295597	None	None	14.064875803507658	20.494849226334328	86	0	25202	110	0	0	11529	863531	875060	215282	226811	5.8	1.3	100.0	100.0
41	SRR545695.graph	cleaned	0	1	0	0	606	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR545695multi.json	176.987s	871650	0	0	34.69806138290673	336.1000353907053	0	0.0	33.087910285091496	18.16770125405832	None	None	14.064875803507658	20.494849226334328	86	0	25202	81	0	0	11255	814228	825483	215556	226811	5.7	1.4	100.0	100.0
43	SRR545695.graph	cleaned	0	0	0	1	606	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR545695paired2.json	667.589s	871650	0	0	34.69806138290673	336.1000353907053	0	0.0	33.087910285091496	18.16770125405832	None	None	14.064875803507658	20.494849226334328	86	0	25202	81	0	0	11255	814228	825483	215556	226811	5.7	1.4	100.0	100.0
44	SRR545723.graph	cleaned	1	0	0	0	2535	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR545723full.json	268.533s	1943539	0	0	66.9055389170023	492.38816366556	0	0.0	35.81683619417979	26.312553296646986	None	None	17.514535973552366	34.580825690940166	31	0	29341	292	0	0	16675	1793213	1809888	210136	226811	8.4	0.9	100.0	100.0
45	SRR545723.graph	cleaned	0	1	0	0	2535	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR545723multi.json	458.895s	1695822	0	0	58.02045983303682	429.49015176099016	0	0.0	49.40549008091652	65.35703909414426	None	None	17.514535973552366	34.580825690940166	31	0	29341	113	0	0	15876	1584030	1599906	210935	226811	8.0	1.0	100.0	100.0
47	SRR545723.graph	cleaned	0	0	0	1	2535	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR545723paired2.json	2218.631s	1695822	0	0	58.02045983303682	429.49015176099016	0	0.0	49.40549008091652	65.35703909414426	None	None	17.514535973552366	34.580825690940166	31	0	29341	113	0	0	15876	1584030	1599906	210935	226811	8.0	1.0	100.0	100.0
48	ERR188021.graph	cleaned	1	0	0	0	297	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	ERR188021full.json	26.181s	41948	0	0	1.8390986014292603	12.428017031085073	0	0.0	12.49916563364165	13.85205897218974	None	None	11.35082642816432	14.012337799798209	86	0	22809	0	0	0	11334	27729	39063	215477	226811	5.7	29.0	83.4	100.0
49	ERR188021.graph	cleaned	0	1	0	0	297	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	ERR188021multi.json	27.031s	40232	0	0	1.7638651409531323	11.67132942826098	0	0.0	12.05383774110161	13.628888365614912	None	None	11.35082642816432	14.012337799798209	86	0	22809	0	0	0	11247	26266	37513	215564	226811	5.7	30.0	75.8	100.0
51	ERR188021.graph	cleaned	0	0	0	1	297	10000	0	-1	-1	None	None	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	ERR188021paired2.json	29.690s	40232	0	0	1.7638651409531323	11.67132942826098	0	0.0	12.05383774110161	13.628888365614912	None	None	11.35082642816432	14.012337799798209	86	0	22809	0	0	0	11247	26266	37513	215564	226811	5.7	30.0	75.8	100.0
0	human_geuvadis_simulated_5sets.graph	cleaned	0	0	1	0	276	10000	0	-1	-1	None	-1	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	human_geuvadis_simulated_5sets.json	82.190s	82831	0	0	3.809898348742008	23.684418299537327	0	0.0	14.657869638178942	10.978750544197965	None	None	17.85267466997838	20.582529722056396	20	0	21741	0	0	0	18873	58345	77218	98095	116968	17.5	24.4	100.0	100.0
1	human_leukemia_real_5sets.graph	cleaned	0	0	1	0	307	10000	0	-1	-1	None	-1	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	human_leukemia_real_5sets.json	65.780s	98242	0	0	11.598819362455728	132.60414616674282	0	0.0	25.91236945501924	13.07449903053124	None	None	19.50979466603729	23.290304776756518	18	0	8474	4	0	0	4532	91466	95998	222279	226811	2.3	4.7	100.0	100.0
2	SRR307903.graph	cleaned	0	0	1	0	989	10000	0	-1	-1	None	-1	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR307903.json	96.030s	79020	0	0	3.3441956917347326	37.03220363406079	0	0.0	37.598595292331055	56.92052774924707	None	None	14.70485420457912	20.814543061570543	48	0	23629	0	0	0	12886	61600	74486	213925	226811	6.5	17.3	100.0	100.0
3	SRR307911.graph	cleaned	0	0	1	0	668	10000	0	-1	-1	None	-1	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR307911.json	116.683s	140789	0	0	4.321730054946742	67.65050685474769	0	0.0	23.908188849981176	23.346914366578336	None	None	11.928696399521163	16.510043564897963	108	0	32579	2	0	0	13042	118411	131453	213769	226811	6.6	9.9	100.0	100.0
4	SRR315323.graph	cleaned	0	0	1	0	1857	10000	0	-1	-1	None	-1	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR315323.json	355.280s	329700	0	0	12.352941176470589	183.6386365566325	0	0.0	48.6260812860176	52.003225683954014	None	None	13.274646305861218	22.294710349564298	78	0	26718	28	0	0	10999	303501	314500	215812	226811	5.6	3.5	100.0	100.0
5	SRR315334.graph	cleaned	0	0	1	0	401	10000	0	-1	-1	None	-1	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR315334.json	72.003s	82016	0	0	3.340637855891817	55.113876646508594	0	0.0	17.96506779165041	15.259968321310009	None	None	12.779397987862	16.510744782072912	93	0	24551	0	0	0	12180	64995	77175	214631	226811	6.2	15.8	100.0	100.0
6	SRR387661.graph	cleaned	0	0	1	0	571	10000	0	-1	-1	None	-1	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR387661.json	289.659s	626230	0	0	22.866793252026586	202.89800465846585	0	0.0	31.961166025262283	22.43382068256997	None	None	14.90349180866202	21.88424608721047	163	0	27407	21	0	0	14361	571107	585468	212450	226811	7.3	2.5	100.0	100.0
7	SRR534291.graph	cleaned	0	0	1	0	1123	10000	0	-1	-1	None	-1	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR534291.json	121.735s	227873	0	0	8.267651113852406	103.9141172958022	0	0.0	31.72108147959609	39.089080501326194	None	None	10.78896386591206	16.868530056682257	333	0	27564	2	0	0	12598	187652	200250	214213	226811	6.4	6.3	100.0	100.0
8	SRR534307.graph	cleaned	0	0	1	0	1668	10000	0	-1	-1	None	-1	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR534307.json	1320.020s	1038055	0	0	30.03979048500984	274.4804537649339	0	0.0	57.93935774116015	39.15159319035812	None	None	19.649010258633144	38.39623122323033	71	0	34605	49	0	0	16241	967037	983278	210570	226811	8.2	1.7	100.0	100.0
9	SRR534319.graph	cleaned	0	0	1	0	1091	10000	0	-1	-1	None	-1	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR534319.json	255.854s	748129	0	0	28.01771402891169	290.79567845875334	0	0.0	29.957667728426514	15.014941307853704	None	None	12.397877191015436	17.62029771574774	103	0	26757	55	0	0	10567	696245	706812	216244	226811	5.4	1.5	100.0	100.0
10	SRR545695.graph	cleaned	0	0	1	0	606	10000	0	-1	-1	None	-1	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR545695.json	1214.053s	871650	0	0	34.69806138290673	336.1000353907053	0	0.0	33.087910285091496	18.16770125405832	None	None	14.064875803507658	20.494849226334328	86	0	25202	81	0	0	11255	814228	825483	215556	226811	5.7	1.4	100.0	100.0
11	SRR545723.graph	cleaned	0	0	1	0	2535	10000	0	-1	-1	None	-1	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	SRR545723.json	1070.679s	1695822	0	0	58.02045983303682	429.4901517609902	0	0.0	49.40549008091652	65.35703909414426	None	None	17.514535973552366	34.580825690940166	31	0	29341	113	0	0	15876	1584030	1599906	210935	226811	8.0	1.0	100.0	100.0
12	ERR188021.graph	cleaned	0	0	1	0	297	10000	0	-1	-1	None	-1	0	-1	None	None	transcripts.gtf	../Results/resultsWP1.csv	ERR188021.json	41.762s	40232	0	0	1.7638651409531323	11.67132942826098	0	0.0	12.05383774110161	13.628888365614912	None	None	11.35082642816432	14.012337799798209	86	0	22809	0	0	0	11247	26266	37513	215564	226811	5.7	30.0	75.8	100.0
